course,geoLevel,geoName,sex,stage,value,sourceId
2022-2023,ccaa,Comunidad Foral de Navarra,total,TOTAL,117805,educabase-general-1-01-2022-2023
2022-2023,ccaa,Comunidad Foral de Navarra,total,E. Primaria,42408,educabase-general-1-01-2022-2023
2022-2023,ccaa,Comunidad Foral de Navarra,total,ESO,29686,educabase-general-1-01-2022-2023
2022-2023,ccaa,Comunidad Foral de Navarra,total,Bachillerato (1),9128,educabase-general-1-01-2022-2023
2022-2023,ccaa,País Vasco,total,TOTAL,366001,educabase-general-1-01-2022-2023
2022-2023,ccaa,País Vasco,total,E. Primaria,124151,educabase-general-1-01-2022-2023
2022-2023,ccaa,País Vasco,total,ESO,88889,educabase-general-1-01-2022-2023
2022-2023,ccaa,País Vasco,total,Bachillerato (1),31937,educabase-general-1-01-2022-2023
2022-2023,ccaa,La Rioja,total,TOTAL,56701,educabase-general-1-01-2022-2023
2022-2023,ccaa,La Rioja,total,E. Primaria,19111,educabase-general-1-01-2022-2023
2022-2023,ccaa,La Rioja,total,ESO,13516,educabase-general-1-01-2022-2023
2022-2023,ccaa,La Rioja,total,Bachillerato (1),3788,educabase-general-1-01-2022-2023
2022-2023,ccaa,Ceuta,total,TOTAL,19370,educabase-general-1-01-2022-2023
2022-2023,ccaa,Ceuta,total,E. Primaria,6492,educabase-general-1-01-2022-2023
2022-2023,ccaa,Ceuta,total,ESO,4792,educabase-general-1-01-2022-2023
2022-2023,ccaa,Ceuta,total,Bachillerato (1),1311,educabase-general-1-01-2022-2023
2022-2023,ccaa,Melilla,total,TOTAL,20686,educabase-general-1-01-2022-2023
2022-2023,ccaa,Melilla,total,E. Primaria,7624,educabase-general-1-01-2022-2023
2022-2023,ccaa,Melilla,total,ESO,4867,educabase-general-1-01-2022-2023
2022-2023,ccaa,Melilla,total,Bachillerato (1),1421,educabase-general-1-01-2022-2023
2024-2025,country,España,total,TOTAL,8319029,educabase-general-1-01-2024-2025
2024-2025,country,España,total,E. Infantil - Primer ciclo,488471,educabase-general-1-01-2024-2025
